Activity Date,Trans Code,Quantity,Price,Amount,Ticker
2022-01-18,Sell,618.0397,1318.61,24948.7,EAT
2010-07-06,Sell,175.7271,1106.79,-5729.39,PZJ
2010-12-19,Sell,45.1459,393.34,32600.65,BNX.
2011-03-07,Split,483.102,120.05,34135.95,QIGD
2012-09-12,Withdrawal,0.0,485.11,34089.51,HAE
2024-09-14,Deposit,978.598,1318.02,-13389.79,YCFO
2011-08-20,Split,902.5919,926.91,4425.24,YTU
2023-04-01,Deposit,129.1019,312.03,-35483.5,OJD
2010-08-11,Buy,847.3388,908.02,23896.67,OUB.
2022-05-02,Withdrawal,740.7045,1118.85,7705.4,ESBd
2013-10-22,Deposit,856.3072,1973.09,48496.97,QIA
2019-07-09,Split,839.7431,1481.4,34100.15,WCN
2014-07-26,Split,0.0,279.29,21523.74,IHMQ
2022-02-02,Buy,0.0,1167.2,46146.18,MEXF
2022-06-01,Withdrawal,219.2432,929.05,-21553.54,ONXH
2024-06-30,Deposit,158.7122,1679.62,-38094.13,UVF.
2023-01-10,Split,0.0,1168.87,-48809.7,KANf
2015-05-13,Split,886.7427,1156.71,6541.22,KIHR
2018-08-07,Buy,310.5047,1769.23,45591.01,OYRj
2010-08-17,Deposit,607.6225,278.64,41969.78,ECEk
2013-09-29,Withdrawal,0.0,1535.96,27191.39,LUZ.
2012-11-11,Split,202.5316,1603.67,6530.36,FNB
2024-04-02,Deposit,0.0,1850.44,-24726.27,QFRs
2018-12-23,Buy,0.0,1324.21,-26495.57,CMH
2018-04-10,Buy,0.0,1071.29,32650.13,MWEL
2011-11-17,Split,985.9624,1331.61,-43245.76,HQH
2023-10-15,Sell,565.9035,173.48,28044.52,YYCJ
2024-07-09,Withdrawal,568.7407,1232.62,30984.71,YAN
2012-08-17,Dividend,871.1922,409.6,12095.71,LSH
2019-06-11,Dividend,895.0099,1813.21,47169.37,PIW.
2022-03-10,Split,177.1416,295.29,-20128.93,HALu
2019-05-08,Dividend,149.4189,335.4,43361.8,LMJ
2017-02-09,Withdrawal,268.5718,743.79,-1044.29,PTU.
2015-04-25,Dividend,869.158,1642.57,-37405.99,DTIa
2019-12-15,Sell,0.0,1858.11,38696.37,ASM
2019-01-30,Dividend,70.5901,272.2,-20806.35,UKMR
2013-10-12,Deposit,422.8557,166.36,-11043.71,SCA.
2013-09-21,Sell,198.8639,611.25,31483.23,POA.
2018-01-03,Deposit,191.1155,290.86,30706.16,MWB
2022-06-28,Buy,30.7727,395.44,-36326.36,XSLd
2024-10-23,Sell,108.7284,376.32,958.66,FDH
2023-04-07,Dividend,294.3157,1343.47,4831.9,LOC.
2012-05-14,Split,0.0,1587.28,-43378.18,ZUCl
2019-10-29,Deposit,0.0,1279.96,-16344.29,FWDo
2018-03-23,Buy,443.8706,259.81,-2742.64,BZY
2015-07-27,Withdrawal,0.0,633.57,-2819.23,JSFE
2019-01-24,Withdrawal,0.0,793.72,22512.77,ZVC.
2017-10-08,Split,210.0829,1826.94,-25369.18,TTP
2022-09-15,Sell,0.0,562.54,5027.84,XTL.
2014-04-14,Split,864.9168,649.19,-3738.26,HHS
2012-11-04,Buy,698.7835,1372.51,-38396.16,CHE
2013-03-12,Dividend,266.0537,1060.38,4368.59,WSQ
2010-05-23,Split,818.7014,272.82,-39119.68,BJC
2011-11-23,Dividend,0.0,701.9,-26851.85,ZSH.
2012-09-13,Withdrawal,808.5224,1715.77,22606.71,SRJ.
2014-04-29,Dividend,500.9067,1064.48,5825.29,JLJ
2013-11-18,Buy,913.6953,927.18,-41477.88,QYN.
2017-03-01,Withdrawal,0.0,1390.09,-34664.25,PDTD
2023-01-26,Deposit,874.512,310.66,17743.17,XZK
2022-03-19,Buy,22.2576,175.41,-18509.87,LRWW
2015-04-11,Split,0.0,1008.66,-31833.47,NYU
2010-07-09,Dividend,843.9997,927.82,1159.07,SQGE
2019-09-16,Buy,107.0577,1265.34,-40945.76,IZH
2016-08-05,Withdrawal,892.6558,846.51,31667.09,HKV.
2021-05-08,Dividend,842.7708,1923.66,11334.14,ZDN
2013-05-31,Buy,210.5789,1058.69,25458.72,GSW.
2020-05-28,Dividend,686.1697,1266.42,-43049.76,CSGp
2016-10-12,Deposit,0.0,1716.72,-46802.25,RYZX
2024-10-06,Buy,0.0,1582.56,38476.67,ZGC.
2025-06-18,Withdrawal,372.1227,1994.45,29477.79,TBLf
2017-10-31,Deposit,601.6591,1226.72,23685.28,YROr
2014-06-12,Deposit,0.0,1493.49,-8373.61,SGI
2015-04-28,Buy,832.449,1335.12,-48927.49,WQHB
2024-12-31,Deposit,386.1712,1060.05,5479.29,TBBa
2017-04-18,Split,141.8865,1208.44,32149.14,AHO.
2020-12-05,Buy,116.6922,1400.41,1116.09,SWK.
2018-02-23,Sell,0.0,308.35,-8072.65,ZIAW
2017-07-09,Buy,187.4512,1885.27,46480.47,LUU.
2019-11-21,Withdrawal,986.2562,1392.21,5190.58,EZUB
2019-07-04,Sell,351.0899,222.74,1793.66,AWU.
2011-03-19,Dividend,173.0849,1063.31,-46106.94,NGUl
2012-10-01,Dividend,620.4505,409.11,31097.76,HHL
2015-11-02,Deposit,372.6806,1019.82,27906.26,UCPc
2020-07-31,Buy,731.927,1037.42,-36217.82,AFUa
2015-05-17,Dividend,0.0,299.8,11241.8,HKPl
2011-12-20,Dividend,0.0,1111.93,-46079.62,HIY
2014-04-20,Buy,0.0,724.35,45863.51,JNG
2017-07-16,Dividend,404.1672,1607.81,-8594.91,RLW
2011-12-09,Sell,387.2667,1090.21,-34725.5,XAL
2012-07-31,Dividend,227.292,390.34,40512.84,NWF
2019-05-20,Dividend,74.0281,561.31,42551.24,QEW
2012-10-13,Buy,57.1246,1978.57,18614.98,BHR
2018-02-20,Deposit,712.5693,28.02,1576.93,PIH.
2018-09-01,Withdrawal,634.0949,955.59,-20167.55,ZZL.
2014-10-02,Dividend,585.8169,622.96,-45664.1,YOWo
2011-06-01,Sell,955.6478,1103.39,-1349.03,KTT.
2012-01-08,Sell,0.0,176.03,-34645.16,XUV
2020-03-19,Split,0.0,1231.17,-6720.24,EUT.
2024-03-17,Deposit,376.7926,343.64,34680.09,YDVg
2014-10-20,Split,765.3788,1824.44,49325.58,YHD.
2010-09-25,Withdrawal,822.0157,1327.85,44656.73,MLP
2014-12-02,Withdrawal,165.195,407.23,3518.13,HMI.
2017-10-02,Withdrawal,287.117,1675.26,36634.49,HLAC
2023-07-05,Buy,0.0,524.16,-35503.69,EOHF
2018-12-27,Dividend,0.0,84.72,-3067.66,PKWa
2022-08-08,Buy,212.4862,492.11,-7121.35,MKJ.
2020-03-29,Withdrawal,0.0,882.16,31497.9,WRZ
2022-06-03,Sell,0.0,557.94,-6797.26,ZMXf
2023-07-03,Dividend,435.4957,1481.93,23291.69,ETY
2014-10-09,Buy,541.2782,1864.83,-3015.52,ZHFr
2012-10-19,Sell,615.8413,1979.11,24874.76,VZJ
2018-08-08,Withdrawal,962.4662,355.37,31027.14,HNG.
2010-01-03,Deposit,0.0,1279.32,6675.99,EXEb
2012-01-05,Dividend,20.6006,1951.51,-23280.14,TCKL
2018-03-12,Withdrawal,775.1961,1501.64,24473.23,QRK.
2013-10-13,Split,220.0208,1481.99,2748.14,YIA.
2021-01-03,Dividend,426.3603,1315.39,45710.3,FFF
2017-10-23,Withdrawal,930.4566,1370.17,22041.49,MNP
2015-03-07,Sell,355.2687,1509.16,23534.4,FVTF
2011-01-25,Sell,214.2487,1913.39,-4513.77,SOA
2010-08-28,Withdrawal,0.0,1093.1,-2016.89,ASMS
2014-03-13,Dividend,648.4169,102.04,-41349.33,UZG.
2015-05-17,Split,385.4727,959.22,26009.06,SVJT
2023-07-27,Sell,51.4224,749.79,8146.15,HHQo
2016-02-23,Split,680.5302,1439.43,-10387.05,OCT
2023-05-08,Buy,0.0,19.12,45525.77,NUM.
2017-09-06,Withdrawal,620.1877,1182.79,-24893.4,YNL.
2017-01-10,Withdrawal,813.7351,1274.11,29342.27,QZT
2023-03-19,Deposit,354.4533,981.73,-27138.73,IMAy
2015-08-18,Dividend,931.23,1372.61,-39539.22,WJZP
2015-09-25,Buy,467.1647,15.02,-37542.38,JEA.
2018-04-27,Deposit,261.1818,1441.18,-37840.49,OMPm
2024-09-12,Withdrawal,32.225,302.94,31495.33,IILR
2019-03-21,Split,668.0897,153.38,-11593.03,QZZ.
2021-03-18,Sell,998.0078,964.9,-46164.11,TZHO
2010-12-13,Buy,153.1085,1437.97,-31456.22,YEK
2010-02-03,Buy,93.5976,879.74,-18280.64,YHFC
2014-01-10,Deposit,138.0567,1440.33,48952.48,CJS
2010-07-14,Dividend,400.5677,948.93,25283.7,VEC
2014-10-16,Deposit,836.6989,1806.62,710.8,ZBW
2018-10-08,Dividend,889.1586,1188.22,46867.32,NFV
2021-09-24,Buy,0.0,367.17,-31663.98,STVC
2017-08-04,Deposit,369.648,782.93,25768.32,LZV
2012-10-23,Sell,670.9124,1700.0,-29107.85,CZN.
2015-11-29,Buy,787.5631,1845.07,-6682.21,NZRZ
2012-08-22,Dividend,199.6258,524.46,3620.23,PAZ
2013-10-23,Split,0.0,217.27,-23262.2,IXX
2012-01-17,Buy,183.8151,701.65,25634.83,WTX
2018-04-25,Dividend,954.3597,463.83,-46544.85,QDFu
2023-11-18,Buy,0.0,354.69,-21467.85,FQL.
2012-02-20,Deposit,0.0,1254.55,-40940.16,OZPv
2020-05-10,Split,0.0,90.65,340.28,SBMu
2024-03-05,Sell,312.9344,567.22,28639.72,MXC.
2021-04-04,Deposit,103.8069,1623.65,21114.46,BXGX
2022-11-08,Deposit,708.7288,1512.0,37340.49,YGB
2019-09-06,Sell,414.7888,54.39,41731.5,JLW.
2022-10-06,Dividend,867.8362,626.57,47850.02,HDN.
2021-11-17,Withdrawal,897.2329,1979.2,-29912.9,UKZ
2025-02-06,Withdrawal,149.9571,968.96,-40322.03,DBG.
2014-06-06,Buy,714.6325,557.39,29672.2,JXM
2025-03-14,Buy,727.0237,1537.73,-49077.71,NOE.
2012-07-23,Split,218.5794,1863.5,-11062.84,QYH.
2019-06-11,Sell,659.8141,1169.48,5896.04,IMY.
2018-09-27,Deposit,0.0,1626.52,-39992.77,SYG
2020-11-23,Split,984.4299,767.4,21683.5,XDDb
2015-02-10,Withdrawal,41.0269,1286.35,11202.33,FNH
2022-08-07,Withdrawal,114.3686,525.71,29361.63,GDZ
2018-04-14,Buy,310.9304,945.97,39311.93,YQK.
2023-10-29,Sell,0.0,696.53,41080.23,JHZ.
2010-01-17,Split,89.1616,935.31,21503.82,ENC.
2017-06-29,Dividend,806.7669,320.31,-41034.08,XVU
2025-07-25,Split,962.6262,100.74,-37272.15,VID.
2014-04-17,Withdrawal,652.7513,1401.63,-27230.2,PEY.
2010-06-21,Deposit,0.0,730.3,4751.92,ZIC.
2016-12-26,Withdrawal,646.332,243.0,-40649.3,KFC.
2012-08-15,Sell,840.7965,1018.86,15132.62,NIL
2010-05-09,Dividend,145.4112,1336.36,-4800.52,KCE
2010-05-06,Buy,55.2598,503.99,-16744.12,YIO
2022-01-21,Withdrawal,862.0469,1442.57,-49816.97,VJB.
2012-08-16,Sell,608.8466,148.19,-21438.23,SWZh
2021-06-18,Dividend,916.9056,1325.02,-41503.79,ZDIi
2020-07-01,Deposit,134.9208,72.5,-17.02,RYM
2022-02-04,Buy,949.7776,983.16,25946.52,REL.
2019-06-23,Split,592.73,1451.47,40018.72,QAOj
2015-06-27,Withdrawal,0.0,1255.07,41249.45,TVBg
2011-04-27,Buy,813.2234,49.8,10698.43,ZIWc
2010-08-28,Buy,0.0,1547.53,-17143.95,QRD.
2016-11-07,Sell,746.9264,1863.51,-26586.42,WAX
2012-09-16,Split,344.1351,1849.86,33807.94,EOW.
2010-06-25,Dividend,44.5391,302.19,18941.58,LKE
2023-10-15,Sell,393.9556,1398.29,12398.9,AQJ
2012-12-12,Sell,683.3932,399.21,-5407.71,CIO
2012-03-22,Deposit,753.5259,1566.64,-29608.92,ALM
2020-02-26,Withdrawal,0.0,602.87,-46167.69,LEAf
2023-07-21,Withdrawal,0.0,710.5,13312.45,FEH.
2010-06-03,Deposit,526.1685,308.19,-3018.76,XVN
2021-08-03,Sell,687.0357,573.41,-25031.47,OXP.
2016-07-10,Dividend,678.0111,188.44,-30784.26,RPEI
2020-05-06,Sell,415.308,1474.53,16714.38,NVT
2013-08-20,Deposit,426.8224,319.89,35361.12,AXO
2010-05-01,Buy,0.0,1337.23,-37688.92,EQZ.
2024-03-13,Dividend,622.4894,1355.25,-15117.68,ZDH
2022-07-17,Buy,638.4292,1998.95,-35260.95,ELVb
2023-08-30,Deposit,64.1754,1817.76,20211.17,QWSA
2019-10-01,Buy,847.3416,1272.21,22288.43,XWN
2021-08-27,Dividend,218.0801,1142.95,-30758.42,RWA
2017-06-02,Buy,459.1777,99.25,47915.11,XFKM
2018-09-26,Buy,613.2046,1288.79,21166.27,YRY.
2020-11-01,Sell,726.0549,319.17,19443.21,JALP
2015-03-09,Dividend,0.0,1660.31,28830.33,SFI.
2018-05-03,Withdrawal,484.4854,1276.92,-47145.51,BQMe
2012-12-09,Dividend,776.0986,951.37,-38147.2,KZPx
2018-05-22,Dividend,105.066,1173.79,17544.78,TRM.
2022-05-27,Dividend,798.4629,1145.15,-26794.68,UNBf
2021-03-21,Split,723.7512,1493.48,-36821.03,GWPl
2014-10-06,Deposit,0.0,816.52,16097.22,LAO.
2021-10-29,Dividend,0.0,567.72,9036.83,NZAX
2020-05-18,Dividend,0.0,222.65,5880.24,SMO
2024-09-08,Buy,892.2766,292.4,-20042.07,CUNz
2019-07-19,Split,312.6231,134.16,-20139.47,ZBB.
2016-12-02,Buy,0.0,1661.38,-32337.17,TBD
2022-10-23,Buy,688.47,681.84,-30394.93,PSN
2019-01-18,Sell,0.0,1221.78,35717.01,BDS.
2017-02-20,Withdrawal,0.0,1084.81,12797.03,DZIP
2020-03-02,Withdrawal,984.5438,338.19,44964.93,SIXm
2022-06-17,Sell,420.4495,1539.19,-26554.42,WYF.
2016-06-30,Buy,72.2762,876.11,-20764.59,NISt
2010-03-17,Dividend,207.4127,56.44,9208.43,SVI
2025-03-15,Sell,957.0443,1408.21,-25750.09,HIDU
2012-05-11,Split,0.0,1640.66,38155.52,VJRm
2018-06-19,Sell,293.6595,1956.05,37697.2,YDXH
2019-10-01,Dividend,805.1371,1545.34,-41738.71,VMMV
2017-03-24,Deposit,0.0,149.65,21306.02,KQAe
2017-06-01,Withdrawal,0.0,1683.62,47322.93,ADD
2010-01-24,Buy,589.8236,1574.49,-48321.44,CQU
2019-06-19,Split,902.3121,646.05,-37422.38,WNH
2022-01-15,Dividend,908.8119,435.93,15034.22,CGXV
2024-02-22,Deposit,46.3039,1071.84,5144.95,HOG.
2020-09-08,Deposit,75.1763,172.84,49119.15,HSAQ
2013-08-09,Buy,414.3659,1828.86,39653.15,DQTV
2024-11-30,Withdrawal,0.0,483.2,2377.7,VPHR
2020-10-29,Dividend,0.0,1418.89,-4277.14,JPAj
2025-09-11,Deposit,688.6161,37.98,-31714.97,NPZ
2021-01-21,Split,0.0,1027.84,-18952.38,OBJ
2016-09-29,Deposit,0.0,1762.9,-18045.03,TVVQ
2024-08-02,Dividend,942.8548,296.02,-3023.98,TDU.
2023-08-20,Sell,794.1407,1788.53,7443.12,NIXz
2024-06-01,Split,819.7666,581.63,35970.51,DKX.
2015-04-05,Buy,615.7212,923.29,43397.39,QRP
2016-02-02,Sell,154.4857,1272.22,-37551.25,TWN
2017-01-21,Withdrawal,387.1815,1084.24,-29931.92,PEGP
2016-08-03,Sell,824.2889,1008.11,-37501.24,AHI
2022-03-16,Withdrawal,700.9056,852.41,5402.1,YCV
2014-09-11,Withdrawal,888.1374,1555.34,16459.39,MLI.
2024-09-15,Split,921.9143,1509.75,45438.62,ENUa
2014-10-29,Dividend,891.2867,1320.36,-19664.54,XVJ.
2013-01-02,Withdrawal,304.7222,836.39,38444.27,BIVf
2015-03-26,Withdrawal,845.5371,442.65,-36834.82,TZR.
2012-04-30,Dividend,224.4223,1774.25,-16984.33,SFCp
2014-03-22,Withdrawal,466.894,451.4,-41818.94,WWL
2019-09-28,Buy,491.9217,35.45,-12408.36,OTB.
2022-01-02,Dividend,375.7918,808.06,1416.69,TWPR
2015-03-26,Withdrawal,67.6017,881.8,-43179.23,FCD
2016-12-02,Split,492.5046,32.87,-36281.84,CTF.
2019-01-07,Sell,994.1582,38.01,-13919.54,UHQe
2015-04-13,Sell,0.0,1232.65,44817.21,TVH
2012-05-10,Buy,715.0999,1644.21,-35282.69,EZLV
2013-08-02,Deposit,705.5263,403.51,14328.45,SMD
2020-03-17,Split,670.8794,1049.22,-6787.19,YQQ.
2024-01-17,Buy,227.0043,1845.81,-6447.27,CMHp
2011-07-26,Split,0.0,1128.32,44604.42,OWY.
2019-11-29,Buy,563.1386,236.69,-46095.32,NPYS
2014-07-04,Buy,725.3126,1990.94,-48879.88,YWAP
2010-11-19,Split,276.4687,84.83,-5582.46,LLN
2017-01-13,Dividend,586.3993,1536.46,-27281.01,JZVn
2015-04-11,Dividend,984.6773,1680.42,-35498.14,CRF.
2022-04-13,Deposit,848.3214,1990.5,35373.4,OFNF
2014-01-24,Split,136.803,1442.93,-47151.64,WJBG
2011-01-15,Buy,0.0,499.24,33906.12,LLL
2022-01-06,Deposit,683.3657,81.44,25119.69,ZKM
2020-09-17,Buy,27.5356,1860.8,23572.51,PPGs
2014-06-11,Buy,799.7978,1384.79,-21301.21,ACBe
2022-03-11,Deposit,0.0,769.37,21829.93,ADZ
2024-07-06,Deposit,230.8626,1642.59,-43651.74,VOSf
2015-07-28,Deposit,60.0711,260.36,47789.85,ETJS
2020-08-05,Withdrawal,118.6908,914.74,37570.43,OYHj
2014-12-04,Deposit,610.2662,501.14,48831.1,UQN
2021-03-30,Dividend,735.0115,1109.29,-35315.58,OEV
2017-01-13,Buy,0.0,1306.67,-46414.35,YYZ
2019-01-26,Deposit,306.8024,1639.72,-15057.22,BEY
2015-11-27,Sell,80.7181,1315.87,44567.43,MSGv
2013-11-13,Sell,929.0513,1914.97,-17936.23,TOWS
2013-01-23,Sell,741.0034,269.83,-24233.06,ZUI
2023-10-16,Split,111.8005,1259.72,1780.8,XKN.
2019-03-09,Withdrawal,465.7813,908.04,-42195.87,UUE
2017-05-10,Split,595.5763,1475.94,1499.37,OFZ
2020-10-14,Split,0.0,1828.89,14214.09,UID
2019-11-08,Sell,982.122,208.48,43014.58,XGV
2015-10-02,Withdrawal,484.6475,1164.09,48612.81,LEXO
2021-04-18,Deposit,788.9275,1445.26,-40097.79,ERGU
2020-07-02,Dividend,359.9355,1249.93,6598.47,OAC.
2023-03-16,Deposit,0.0,1656.03,30557.47,DZHG
2021-03-01,Withdrawal,685.4583,226.25,-9888.35,BIS
2020-04-11,Split,61.2293,330.5,49375.17,RZXg
2021-03-09,Withdrawal,862.7135,1065.51,-9431.4,EPY
2013-07-25,Dividend,0.0,1568.34,-34476.75,ZEIx
2018-05-20,Sell,953.2056,1935.69,34188.26,RHD.
2015-12-31,Dividend,527.9088,1035.77,-15402.52,WTD.
2024-07-04,Withdrawal,159.1089,1873.23,37864.19,PDW.
2019-10-09,Withdrawal,815.7036,1310.96,-43987.29,FNHx
2013-12-08,Withdrawal,0.0,1904.68,13495.42,REDw
2016-08-29,Withdrawal,845.4684,513.4,29477.23,OLY
2018-10-13,Buy,477.6213,1175.45,-44172.01,QJJU
2019-08-12,Split,717.7126,1872.31,-49255.8,PAJB
2012-06-26,Split,825.7932,1950.62,-48633.89,XQT
2018-11-04,Split,624.5693,1342.29,-33427.07,LJT
2024-07-28,Withdrawal,885.4739,679.48,24855.89,RGG.
2019-04-18,Buy,226.8224,1004.31,47658.72,CYI.
2025-11-27,Sell,0.0,941.33,-48606.03,BGJ
2022-06-20,Sell,12.3696,1727.61,36752.71,QTI.
2011-07-20,Sell,970.7607,1624.52,25173.13,VLW
2011-06-28,Dividend,977.7984,1351.34,-7808.36,FNP.
2011-09-26,Withdrawal,513.7943,1018.12,-47797.57,DZFp
2015-11-14,Split,471.4527,1526.86,-36952.82,NAW
2023-11-26,Deposit,449.8629,442.82,-10514.26,JUVs
2019-02-16,Withdrawal,162.5172,1262.89,-47368.85,CTG.
2024-08-11,Sell,0.0,1658.24,-27433.84,UDNP
2011-10-29,Buy,0.0,30.92,-11537.74,XEE
2019-09-30,Buy,0.0,1702.51,-34252.92,EJQ.
2013-04-16,Sell,0.0,1946.74,12690.53,LCV.
2015-12-14,Split,20.496,665.79,1993.55,PBVR
2024-09-20,Dividend,0.0,1179.45,-42092.68,WCV
2025-06-22,Buy,479.8455,1008.69,9870.58,SQHu
2018-07-22,Dividend,645.6123,1603.79,-36217.67,QSL.
2017-06-02,Buy,777.7007,1254.1,9127.9,MDPI
2015-03-16,Withdrawal,296.0929,1557.27,-41038.85,HSE.
2024-02-04,Split,644.0126,1189.97,-40314.44,EVN.
2019-05-26,Sell,0.0,804.42,28248.7,INI
2011-10-29,Split,923.1215,231.11,48161.18,ZJZ.
2017-09-29,Deposit,951.8808,656.46,-28359.08,UJX
2021-02-10,Deposit,226.8713,1160.99,-45368.66,VGU.
2018-09-13,Buy,820.6673,466.58,5221.92,RUQ
2015-02-08,Deposit,0.0,1107.0,-17991.23,RJW
2014-04-06,Withdrawal,188.9934,1146.22,10699.77,DJJ
2014-06-28,Sell,63.7659,1452.68,5956.28,TBQ
2014-01-07,Withdrawal,379.3936,48.79,748.46,ONYQ
2015-11-04,Split,0.0,401.44,45990.66,BJJ.
2015-04-26,Split,695.0395,1833.0,8835.04,BVTt
2011-01-08,Dividend,301.7992,62.66,-46103.6,KHQJ
2025-01-02,Sell,0.0,1333.05,-5774.34,ZJP
2023-05-23,Buy,204.9756,1306.91,-11377.54,OPW
2010-11-20,Buy,21.1076,435.31,-8536.31,DYL.
2023-04-05,Withdrawal,9.498,242.58,-12898.46,CYUk
2022-05-10,Sell,0.0,505.41,-2018.59,LGN.
2022-09-23,Buy,331.2431,210.33,-910.2,RCF
2011-02-17,Dividend,978.9745,40.84,35838.2,TIG.
2010-11-21,Dividend,0.0,340.42,31795.87,ZTWb
2021-04-14,Deposit,484.3186,1668.41,-13799.55,OMV.
2018-12-15,Deposit,0.0,684.67,24215.73,GML.
2019-07-24,Buy,33.74,1174.03,-38564.03,XBAQ
2019-02-25,Withdrawal,730.2036,1892.58,-4605.8,BYQ.
2011-03-29,Split,0.0,1103.7,-17550.83,KZH
2012-11-14,Dividend,0.0,525.99,33172.48,OZFZ
2020-03-16,Deposit,0.0,1184.8,22945.87,SRE.
2011-06-24,Sell,999.4801,1298.82,15355.81,UMHd
2023-08-30,Split,716.3138,320.15,12865.59,SYMk
2015-08-28,Deposit,201.3676,1226.6,-11568.47,IJV
2016-05-30,Withdrawal,199.7677,1391.41,48318.37,SUC
2023-09-03,Dividend,211.6849,431.2,-37643.49,GKNq
2021-09-06,Withdrawal,0.0,1437.79,49872.4,WTD
2012-12-11,Deposit,0.0,1146.26,47736.53,TAQl
2020-07-25,Split,628.864,1500.21,-29536.51,ZFE
2024-08-27,Split,148.6753,1278.53,-28671.78,VMNW
2010-07-27,Deposit,0.0,1598.53,-31376.16,GBLV
2017-01-04,Buy,109.7674,266.54,12074.64,LZZi
2024-11-03,Split,111.6782,425.24,17254.82,SQMP
2021-08-29,Split,0.0,874.98,-19929.07,NEWd
2022-03-19,Split,438.2394,621.47,-26501.73,HYK
2018-11-08,Withdrawal,0.0,287.92,-24213.19,BZF.
2017-08-29,Buy,836.626,1198.68,22573.85,TNP
2021-08-28,Sell,0.0,353.34,-20299.87,UPO
2017-03-31,Withdrawal,464.8374,1551.33,-37531.78,XYDk
2012-07-29,Split,16.539,38.75,-31425.38,PRT.
2024-10-22,Deposit,342.6841,1642.66,46868.18,EFB
2019-12-16,Buy,811.4236,1921.6,49427.3,NDL
2023-10-21,Split,0.0,1554.95,-32600.08,GXV.
