Date,Activity,Ticker,Quantity,Price,Amount
2024-02-29,Sell,AAPL,73,456.31,33310.63
2025-09-16,Dividend,TSLA,64,191.68,39.62
2024-10-24,Sell,TSLA,39,168.52,6572.28
2021-08-29,Dividend,MSFT,12,208.02,7.48
2025-10-01,Buy,TSLA,77,201.5,15515.5
2022-11-23,Buy,MSFT,42,256.15,10758.3
2023-03-13,Sell,GOOG,68,164.56,11190.08
2024-03-07,Dividend,AAPL,42,271.53,32.94
2023-01-06,Buy,AMZN,4,341.54,1366.16
2025-05-12,Sell,GOOG,11,110.91,1220.01
2020-12-23,Dividend,MSFT,57,441.72,27.93
2025-07-01,Sell,AMZN,15,109.87,1648.05
2021-12-08,Buy,MSFT,39,382.97,14935.83
2021-01-21,Dividend,AAPL,21,421.02,18.32
2024-12-13,Sell,AMZN,46,307.29,14135.34
2021-07-19,Sell,AAPL,81,397.82,32223.42
2022-11-04,Dividend,AAPL,78,106.56,27.67
2024-01-05,Buy,MSFT,52,179.67,9342.84
2021-11-22,Sell,TSLA,74,101.72,7527.28
2021-09-30,Dividend,AAPL,46,383.2,13.44
2023-06-14,Buy,AAPL,97,133.13,12913.61
2024-03-01,Buy,MSFT,37,89.93,3327.41
2025-10-13,Dividend,TSLA,52,208.51,24.11
2024-12-05,Dividend,AAPL,29,170.84,32.26
2021-12-09,Buy,GOOG,80,262.65,21012.0
2023-02-06,Sell,TSLA,64,142.89,9144.96
2024-09-10,Dividend,MSFT,66,145.78,29.8
2023-01-06,Dividend,AMZN,4,459.6,9.86
2025-04-28,Sell,MSFT,79,323.61,25565.19
2022-08-21,Dividend,MSFT,9,111.16,12.16
2021-08-30,Dividend,AAPL,37,409.62,13.88
2021-03-23,Buy,MSFT,87,160.39,13953.93
2025-03-02,Dividend,AMZN,42,176.39,36.18
2025-02-08,Sell,MSFT,78,191.25,14917.5
2024-12-30,Sell,MSFT,87,368.6,32068.2
2023-08-16,Buy,AAPL,51,162.99,8312.49
2021-04-24,Sell,TSLA,61,331.23,20205.03
2023-02-15,Dividend,AMZN,81,249.99,49.63
2025-08-20,Buy,GOOG,51,378.61,19309.11
2023-01-30,Sell,AMZN,55,444.71,24459.05
2025-07-06,Buy,AMZN,27,496.55,13406.85
2022-01-09,Sell,AMZN,50,393.73,19686.5
2023-07-02,Sell,AMZN,29,415.26,12042.54
2025-06-30,Dividend,TSLA,72,76.34,28.58
2023-07-26,Sell,GOOG,48,355.36,17057.28
2022-03-01,Buy,AMZN,76,290.15,22051.4
2022-07-08,Dividend,TSLA,69,459.77,15.46
2024-04-21,Dividend,MSFT,42,384.59,15.31
2024-02-15,Buy,AAPL,70,415.09,29056.3
2022-02-20,Buy,GOOG,91,353.88,32203.08
2021-02-23,Dividend,AMZN,12,435.96,24.56
2023-10-16,Dividend,GOOG,76,305.34,9.29
2024-08-06,Dividend,GOOG,47,418.13,3.33
2023-05-21,Buy,AMZN,34,259.13,8810.42
2024-11-24,Dividend,TSLA,63,451.35,47.21
2022-05-20,Sell,TSLA,24,69.79,1674.96
2022-11-29,Buy,TSLA,22,54.17,1191.74
2024-01-11,Sell,MSFT,44,285.0,12540.0
2021-05-05,Sell,GOOG,2,54.21,108.42
2025-03-19,Buy,GOOG,6,83.12,498.72
2023-11-30,Dividend,AMZN,91,422.74,30.76
2021-09-24,Dividend,TSLA,13,241.33,21.71
2022-07-23,Sell,MSFT,64,439.29,28114.56
2023-06-14,Dividend,MSFT,63,483.11,14.7
2025-11-02,Dividend,MSFT,80,480.24,13.72
2022-12-19,Dividend,TSLA,54,142.81,46.83
2021-11-21,Dividend,GOOG,78,355.98,3.03
2024-04-06,Dividend,TSLA,78,84.56,3.36
2023-11-12,Sell,AMZN,70,221.14,15479.8
2024-08-29,Dividend,TSLA,80,316.8,47.8
2023-02-12,Dividend,AMZN,26,452.38,33.3
2023-04-01,Sell,MSFT,95,375.81,35701.95
2020-12-20,Dividend,AAPL,86,287.36,29.28
2023-01-05,Buy,AMZN,3,375.13,1125.39
2025-11-19,Sell,AMZN,11,447.27,4919.97
2021-06-18,Sell,AAPL,33,196.32,6478.56
2021-07-30,Dividend,AAPL,11,255.53,1.03
2023-11-21,Sell,AMZN,84,139.61,11727.24
2024-02-26,Sell,MSFT,57,140.61,8014.77
2023-01-13,Sell,MSFT,61,387.75,23652.75
2024-11-09,Buy,MSFT,33,299.65,9888.45
2025-09-13,Dividend,GOOG,84,282.7,38.81
2022-09-21,Dividend,AMZN,56,381.7,3.9
2023-10-30,Buy,AMZN,69,206.09,14220.21
2021-01-12,Sell,GOOG,88,162.01,14256.88
2021-04-15,Dividend,MSFT,27,443.82,6.67
2022-09-23,Dividend,AAPL,24,412.77,17.12
2021-10-18,Buy,TSLA,13,254.61,3309.93
2024-04-26,Sell,TSLA,94,300.31,28229.14
2021-06-21,Dividend,AMZN,76,229.56,1.46
2024-07-12,Dividend,TSLA,55,112.28,41.93
2023-09-14,Buy,GOOG,71,89.04,6321.84
2021-07-08,Dividend,TSLA,33,491.69,13.86
2025-04-13,Sell,GOOG,4,423.89,1695.56
2024-12-07,Dividend,GOOG,68,422.1,41.72
2020-12-23,Dividend,GOOG,75,170.15,8.79
2021-08-14,Buy,TSLA,91,442.07,40228.37
2025-09-04,Buy,AMZN,49,442.44,21679.56
2020-12-23,Dividend,GOOG,5,81.69,33.44
2023-04-04,Buy,AMZN,70,168.28,11779.6
2021-09-11,Sell,AAPL,79,142.37,11247.23
2023-05-29,Dividend,MSFT,96,258.46,3.65
2024-01-16,Sell,MSFT,34,81.18,2760.12
2022-06-28,Buy,GOOG,80,372.32,29785.6
2025-08-18,Buy,TSLA,30,327.37,9821.1
2022-12-13,Dividend,TSLA,9,438.33,31.22
2025-05-07,Dividend,GOOG,66,373.64,28.69
2020-12-31,Buy,MSFT,4,150.85,603.4
2023-11-11,Buy,MSFT,62,410.04,25422.48
2021-11-04,Dividend,AMZN,82,336.92,4.85
2021-04-15,Sell,GOOG,69,444.17,30647.73
2021-05-04,Dividend,TSLA,21,284.99,22.83
2022-01-08,Buy,AMZN,45,198.85,8948.25
2021-03-23,Dividend,AAPL,54,82.56,17.71
2025-11-16,Dividend,AMZN,66,348.45,20.91
2023-05-18,Sell,TSLA,9,323.07,2907.63
2021-04-24,Sell,GOOG,16,405.7,6491.2
2024-08-04,Sell,MSFT,36,401.74,14462.64
2025-05-29,Buy,TSLA,93,270.35,25142.55
2024-07-28,Dividend,MSFT,19,116.79,48.22
2023-01-01,Dividend,AAPL,57,447.09,15.18
2025-11-24,Sell,AMZN,91,205.43,18694.13
2025-06-01,Dividend,MSFT,41,496.5,24.63
2024-12-09,Buy,AMZN,99,199.63,19763.37
2022-01-20,Buy,TSLA,78,483.83,37738.74
2025-07-18,Dividend,AAPL,89,238.03,44.49
2022-01-04,Buy,AAPL,8,81.18,649.44
2022-06-08,Buy,GOOG,31,67.42,2090.02
2024-08-02,Dividend,TSLA,33,288.56,46.56
2025-05-29,Buy,GOOG,68,498.58,33903.44
2025-05-24,Dividend,AAPL,41,306.21,13.15
2021-11-19,Dividend,MSFT,31,112.91,46.21
2023-08-02,Sell,AMZN,9,122.83,1105.47
2022-03-15,Sell,AMZN,13,303.56,3946.28
2022-06-30,Buy,AAPL,1,150.78,150.78
2023-03-23,Sell,AAPL,64,481.67,30826.88
2021-06-11,Dividend,TSLA,64,196.59,21.29
2023-10-12,Sell,MSFT,8,344.81,2758.48
2022-03-08,Sell,GOOG,26,122.05,3173.3
2024-01-12,Buy,TSLA,33,477.73,15765.09
2023-06-28,Buy,AAPL,2,315.95,631.9
2023-08-16,Dividend,AAPL,97,346.71,21.8
2023-07-20,Dividend,TSLA,7,387.42,12.82
2021-03-05,Sell,MSFT,15,406.23,6093.45
2024-12-29,Sell,AAPL,78,151.34,11804.52
2021-05-01,Buy,GOOG,14,465.12,6511.68
2025-07-17,Sell,AAPL,34,454.06,15438.04
2025-08-10,Buy,MSFT,34,380.05,12921.7
2023-01-15,Dividend,TSLA,88,326.86,34.71
2021-01-30,Dividend,GOOG,64,323.45,23.85
2024-04-07,Buy,AAPL,40,215.69,8627.6
2021-08-04,Dividend,TSLA,14,380.96,47.9
2024-07-21,Sell,MSFT,40,203.55,8142.0
2024-03-18,Sell,MSFT,40,263.98,10559.2
2021-10-18,Dividend,MSFT,71,486.02,38.68
2021-03-20,Sell,MSFT,81,160.79,13023.99
2023-03-12,Sell,MSFT,90,133.34,12000.6
2025-09-19,Buy,AMZN,72,368.72,26547.84
2023-02-07,Sell,GOOG,9,203.75,1833.75
2023-12-13,Sell,GOOG,38,438.75,16672.5
2023-01-30,Dividend,MSFT,28,450.27,37.39
2022-01-02,Dividend,TSLA,35,317.85,14.47
2024-03-07,Dividend,MSFT,89,120.77,16.16
2023-06-17,Dividend,AMZN,56,260.57,13.61
2024-03-25,Dividend,AAPL,32,174.09,32.32
2022-05-14,Sell,GOOG,17,57.51,977.67
2023-11-19,Buy,MSFT,52,76.47,3976.44
2022-02-22,Buy,TSLA,19,293.89,5583.91
2025-11-10,Sell,AAPL,76,431.29,32778.04
2021-03-05,Dividend,AAPL,27,336.97,49.43
2025-08-05,Buy,AAPL,63,79.59,5014.17
2022-06-12,Dividend,TSLA,64,198.42,11.84
2021-09-23,Sell,GOOG,64,176.48,11294.72
2025-07-24,Sell,MSFT,86,114.08,9810.88
2023-05-03,Sell,TSLA,52,62.48,3248.96
2023-07-08,Dividend,AAPL,47,154.65,39.32
2022-04-05,Dividend,AMZN,34,308.43,11.57
2022-04-21,Buy,AAPL,51,175.39,8944.89
2023-06-08,Sell,GOOG,81,358.4,29030.4
2022-03-19,Sell,AAPL,47,191.96,9022.12
2021-07-06,Dividend,MSFT,34,333.7,6.51
2023-12-03,Sell,MSFT,39,439.4,17136.6
2025-06-16,Dividend,GOOG,72,463.78,18.84
2025-04-26,Buy,GOOG,41,458.28,18789.48
2022-11-06,Buy,TSLA,55,114.84,6316.2
2021-11-17,Sell,TSLA,66,232.7,15358.2
2024-03-27,Dividend,MSFT,7,132.16,28.88
2022-04-06,Sell,AAPL,82,129.98,10658.36
2021-01-05,Dividend,AMZN,52,435.15,18.38
2023-06-18,Dividend,AMZN,20,310.97,8.23
2022-12-25,Sell,AMZN,11,107.49,1182.39
2025-11-10,Dividend,AAPL,48,104.77,8.33
2025-11-13,Sell,MSFT,67,430.36,28834.12
2024-09-09,Dividend,MSFT,66,169.45,18.12
2021-11-23,Sell,AMZN,65,213.41,13871.65
2022-11-24,Sell,AAPL,20,361.73,7234.6
2024-06-05,Buy,AAPL,74,211.06,15618.44
2024-12-10,Buy,AMZN,18,325.76,5863.68
2024-11-22,Dividend,MSFT,53,393.76,7.68
2025-06-11,Dividend,MSFT,95,401.96,39.64
2021-07-23,Buy,AMZN,20,129.06,2581.2
2021-03-03,Buy,MSFT,88,235.35,20710.8
2021-06-07,Buy,AAPL,58,105.47,6117.26
2025-11-01,Dividend,TSLA,77,492.93,3.65
2021-02-04,Sell,AMZN,92,466.33,42902.36
2025-08-26,Sell,MSFT,13,499.08,6488.04
2021-05-11,Sell,AAPL,60,323.28,19396.8
2021-02-17,Buy,AMZN,22,396.88,8731.36
2021-12-10,Buy,AAPL,72,230.51,16596.72
2024-01-19,Sell,MSFT,96,242.82,23310.72
2021-03-03,Buy,AAPL,79,296.66,23436.14
2025-10-14,Buy,AAPL,16,427.53,6840.48
2025-10-04,Sell,GOOG,18,258.95,4661.1
2024-07-11,Dividend,GOOG,20,341.63,45.66
2024-06-09,Buy,AAPL,46,470.36,21636.56
2021-09-04,Sell,MSFT,79,137.28,10845.12
2023-05-03,Sell,MSFT,47,113.26,5323.22
2023-04-29,Dividend,AAPL,44,266.65,4.66
2024-02-12,Buy,AAPL,80,498.7,39896.0
2023-05-09,Dividend,TSLA,10,100.29,39.18
2024-06-04,Dividend,GOOG,53,220.93,43.41
2023-07-19,Buy,GOOG,45,339.81,15291.45
2021-02-19,Buy,TSLA,68,366.94,24951.92
2024-03-04,Dividend,TSLA,9,280.65,35.04
2024-02-28,Buy,MSFT,73,140.0,10220.0
2024-06-20,Sell,AMZN,55,419.92,23095.6
2022-11-21,Sell,MSFT,55,181.69,9992.95
2022-04-02,Dividend,GOOG,60,259.05,12.36
2021-12-29,Buy,AMZN,10,103.66,1036.6
2021-09-18,Dividend,GOOG,14,480.28,48.17
2021-03-04,Dividend,AMZN,81,360.03,25.39
2025-10-20,Sell,AAPL,26,478.09,12430.34
2023-10-03,Dividend,MSFT,74,102.23,1.6
2023-01-25,Sell,GOOG,52,197.95,10293.4
2021-03-26,Sell,AAPL,80,270.29,21623.2
2025-11-27,Dividend,AAPL,33,363.69,17.17
2025-05-12,Dividend,MSFT,7,260.34,20.79
2024-12-19,Sell,TSLA,38,127.03,4827.14
2023-11-16,Dividend,AMZN,93,241.21,16.21
2024-12-06,Dividend,TSLA,53,327.83,45.25
2023-12-26,Sell,GOOG,79,368.96,29147.84
2021-08-07,Sell,TSLA,83,285.55,23700.65
2023-01-14,Buy,MSFT,17,399.76,6795.92
2025-06-06,Buy,GOOG,75,395.18,29638.5
2023-06-13,Dividend,TSLA,84,403.56,25.97
2023-12-29,Buy,TSLA,48,147.11,7061.28
2022-08-02,Sell,MSFT,87,309.85,26956.95
2022-11-30,Sell,AAPL,73,285.41,20834.93
2023-08-27,Sell,AAPL,93,451.38,41978.34
2022-02-01,Buy,GOOG,100,367.49,36749.0
2021-09-11,Dividend,AMZN,80,54.04,5.07
2021-06-27,Dividend,AAPL,82,250.58,23.4
2023-10-05,Sell,GOOG,88,203.49,17907.12
2023-02-18,Sell,AMZN,19,273.53,5197.07
2025-01-12,Buy,AMZN,27,98.77,2666.79
2025-01-05,Sell,AMZN,73,287.81,21010.13
2021-11-30,Sell,MSFT,25,287.82,7195.5
2023-01-02,Dividend,GOOG,73,263.45,10.18
2023-03-14,Buy,TSLA,13,58.25,757.25
2025-01-23,Buy,GOOG,37,98.95,3661.15
2021-09-10,Dividend,GOOG,57,317.8,21.1
2022-08-16,Dividend,AAPL,18,110.3,35.18
2025-07-31,Sell,AMZN,64,309.63,19816.32
2024-07-21,Sell,AAPL,1,493.09,493.09
2021-09-14,Sell,AMZN,13,52.05,676.65
2022-03-03,Sell,AMZN,34,353.19,12008.46
2025-06-19,Dividend,TSLA,42,98.82,31.97
2023-10-09,Dividend,AMZN,67,247.0,8.62
2025-08-14,Buy,AAPL,35,451.42,15799.7
2021-04-26,Sell,GOOG,63,195.76,12332.88
2023-12-12,Dividend,TSLA,1,104.3,2.92
2022-10-26,Dividend,AAPL,76,232.81,22.17
2021-08-27,Buy,AMZN,29,125.55,3640.95
2025-06-06,Dividend,AMZN,4,328.68,21.94
2024-12-01,Buy,MSFT,13,334.42,4347.46
2025-02-18,Sell,TSLA,99,103.35,10231.65
2023-04-20,Sell,MSFT,95,348.35,33093.25
2022-07-12,Buy,GOOG,35,318.76,11156.6
2020-12-12,Dividend,AAPL,20,319.66,7.8
2021-08-18,Buy,GOOG,24,247.06,5929.44
2023-11-23,Dividend,MSFT,3,497.36,45.81
2020-12-16,Sell,GOOG,98,351.07,34404.86
2021-03-24,Sell,AMZN,75,107.76,8082.0
2024-11-28,Dividend,AMZN,59,478.52,36.62
2021-01-10,Buy,GOOG,87,170.44,14828.28
2022-09-18,Dividend,GOOG,62,238.95,12.63
2025-06-26,Buy,AMZN,30,150.85,4525.5
2023-05-23,Sell,AAPL,21,137.98,2897.58
2024-02-25,Dividend,MSFT,79,200.02,8.35
2022-07-06,Dividend,GOOG,66,253.01,31.72
2025-01-20,Dividend,AMZN,24,425.74,11.51
2024-01-11,Buy,MSFT,40,345.94,13837.6
2025-08-19,Dividend,TSLA,49,151.65,43.06
2023-04-08,Dividend,GOOG,16,176.32,40.52
2023-12-28,Dividend,AAPL,72,65.5,16.64
2025-05-23,Sell,AAPL,40,439.2,17568.0
2024-01-27,Buy,TSLA,82,396.72,32531.04
2023-09-28,Buy,AAPL,22,491.52,10813.44
2025-05-24,Dividend,AMZN,31,416.6,34.24
2022-05-27,Sell,AMZN,34,347.49,11814.66
2021-10-17,Dividend,TSLA,46,361.72,14.43
2022-09-24,Dividend,GOOG,7,259.81,21.52
2021-02-23,Sell,AAPL,50,229.67,11483.5
2025-05-01,Dividend,TSLA,35,390.28,3.29
2024-10-18,Sell,AMZN,2,118.5,237.0
2023-02-24,Buy,TSLA,75,452.78,33958.5
2021-08-02,Dividend,AAPL,70,313.83,45.33
2021-11-15,Sell,TSLA,48,392.82,18855.36
2021-05-27,Dividend,GOOG,44,498.08,33.37
2022-10-10,Sell,MSFT,42,95.18,3997.56
2023-11-11,Sell,GOOG,34,121.29,4123.86
2023-10-12,Buy,GOOG,7,443.41,3103.87
2024-01-02,Sell,GOOG,56,453.17,25377.52
2023-09-19,Buy,GOOG,30,83.25,2497.5
2021-05-14,Dividend,AMZN,79,188.61,34.9
2021-10-29,Dividend,AAPL,52,274.73,4.21
2023-01-23,Dividend,GOOG,90,88.35,25.35
2024-07-25,Buy,MSFT,97,83.92,8140.24
2024-10-07,Buy,MSFT,23,233.2,5363.6
2022-04-11,Buy,AMZN,56,185.43,10384.08
2022-11-25,Dividend,AAPL,99,381.41,3.36
2025-07-31,Buy,GOOG,36,170.27,6129.72
2024-02-19,Sell,AMZN,9,286.29,2576.61
2025-09-10,Sell,AAPL,3,193.14,579.42
2021-12-31,Buy,AAPL,87,123.47,10741.89
2021-02-10,Dividend,AAPL,36,271.13,7.48
2023-02-01,Dividend,AMZN,75,174.43,32.72
2021-04-20,Buy,AAPL,28,139.55,3907.4
2022-12-03,Buy,GOOG,21,94.92,1993.32
2022-10-13,Buy,AMZN,15,315.37,4730.55
2024-03-16,Dividend,MSFT,97,429.4,11.37
2024-12-13,Sell,AMZN,39,332.61,12971.79
2025-03-29,Dividend,AAPL,59,381.8,9.82
2024-05-04,Sell,AAPL,94,198.88,18694.72
2023-07-31,Buy,GOOG,96,194.92,18712.32
2025-04-06,Sell,GOOG,88,448.03,39426.64
2024-04-17,Dividend,TSLA,12,425.15,15.77
2025-08-26,Sell,TSLA,95,313.53,29785.35
2025-02-26,Dividend,AMZN,64,124.4,45.55
2021-03-12,Dividend,TSLA,78,252.49,24.21
2025-11-24,Buy,AMZN,21,56.76,1191.96
2023-10-19,Sell,AAPL,45,353.84,15922.8
2022-02-09,Sell,AAPL,9,474.17,4267.53
2021-12-04,Sell,TSLA,31,112.75,3495.25
2021-11-24,Sell,GOOG,18,234.87,4227.66
2024-09-26,Sell,AMZN,82,289.39,23729.98
2023-01-01,Sell,TSLA,81,253.86,20562.66
2025-01-28,Sell,GOOG,72,266.37,19178.64
2022-03-07,Dividend,TSLA,1,273.63,38.25
2023-06-16,Sell,GOOG,31,87.84,2723.04
2022-11-03,Sell,TSLA,94,473.45,44504.3
2024-12-17,Sell,TSLA,60,297.81,17868.6
2021-06-10,Buy,AMZN,23,160.3,3686.9
2023-07-02,Dividend,TSLA,40,443.25,30.94
2022-02-17,Sell,MSFT,60,279.49,16769.4
2024-10-26,Buy,TSLA,66,286.93,18937.38
2021-04-18,Sell,TSLA,17,454.42,7725.14
2023-07-16,Sell,MSFT,12,414.98,4979.76
2020-12-20,Sell,AAPL,67,204.94,13730.98
2023-03-17,Sell,TSLA,68,197.83,13452.44
2025-08-26,Sell,AAPL,29,282.45,8191.05
2022-12-22,Buy,MSFT,3,293.99,881.97
2021-02-01,Dividend,MSFT,55,445.35,25.98
2025-05-01,Sell,AMZN,51,426.27,21739.77
2024-10-10,Sell,GOOG,1,185.41,185.41
2024-10-31,Dividend,GOOG,60,333.1,23.2
2022-11-12,Dividend,AAPL,55,304.33,15.11
2024-07-01,Buy,AAPL,79,227.15,17944.85
2020-12-10,Sell,AMZN,99,146.98,14551.02
2021-04-22,Sell,AAPL,13,463.71,6028.23
2023-09-26,Sell,GOOG,33,380.1,12543.3
2022-11-28,Dividend,TSLA,64,430.11,9.06
2021-03-08,Dividend,TSLA,89,293.3,24.66
2021-02-04,Buy,MSFT,9,140.13,1261.17
2023-03-29,Dividend,TSLA,3,63.86,20.37
2021-05-13,Dividend,AMZN,21,151.9,38.96
2022-03-15,Buy,TSLA,11,75.05,825.55
2023-12-08,Sell,GOOG,78,283.35,22101.3
2024-08-09,Dividend,GOOG,62,283.37,3.37
2025-06-03,Buy,MSFT,63,198.16,12484.08
2022-06-28,Dividend,AAPL,87,482.07,40.73
2021-07-24,Sell,TSLA,94,193.85,18221.9
2025-05-25,Dividend,TSLA,24,73.83,37.91
2023-05-07,Dividend,AMZN,22,113.85,34.81
2022-12-06,Dividend,AMZN,61,182.86,35.27
2025-10-15,Dividend,GOOG,80,79.03,26.05
2025-09-16,Sell,TSLA,25,227.6,5690.0
2021-11-05,Buy,TSLA,40,377.92,15116.8
2022-01-15,Buy,AMZN,2,351.1,702.2
2025-09-01,Dividend,TSLA,88,357.52,41.86
2021-02-16,Sell,AAPL,88,80.97,7125.36
2021-12-15,Sell,AAPL,55,493.04,27117.2
2021-10-05,Dividend,AMZN,65,148.5,20.75
2024-08-08,Sell,MSFT,44,437.29,19240.76
2022-10-04,Dividend,GOOG,58,385.3,27.19
2022-10-11,Dividend,GOOG,19,426.19,8.23
2024-01-23,Buy,GOOG,35,136.67,4783.45
2023-03-06,Dividend,GOOG,67,260.59,46.8
2022-10-15,Buy,AMZN,41,289.66,11876.06
2023-12-06,Sell,MSFT,88,152.95,13459.6
2024-09-08,Dividend,AAPL,11,341.8,19.78
2021-09-03,Buy,TSLA,4,146.02,584.08
2025-06-17,Dividend,MSFT,2,98.68,22.47
2022-04-24,Sell,AAPL,89,252.63,22484.07
2025-10-05,Dividend,MSFT,27,462.66,37.44
2022-12-23,Sell,MSFT,22,144.69,3183.18
2025-03-17,Buy,AAPL,26,353.82,9199.32
2024-06-01,Sell,MSFT,31,454.37,14085.47
2022-04-15,Dividend,MSFT,100,81.71,17.34
2021-08-24,Sell,MSFT,49,294.0,14406.0
2024-01-14,Dividend,GOOG,33,249.14,30.28
2023-02-06,Buy,MSFT,92,230.43,21199.56
2025-07-27,Sell,AMZN,51,326.41,16646.91
2022-08-23,Buy,GOOG,62,382.47,23713.14
2021-12-29,Sell,AAPL,44,197.89,8707.16
2024-05-24,Dividend,AAPL,85,63.48,44.3
2022-11-10,Sell,TSLA,11,275.71,3032.81
2023-06-04,Sell,GOOG,53,147.28,7805.84
2024-05-26,Buy,MSFT,46,323.7,14890.2
2022-03-04,Sell,AAPL,48,289.2,13881.6
2021-06-06,Buy,MSFT,44,57.83,2544.52
2024-12-29,Buy,MSFT,56,54.33,3042.48
2024-12-25,Dividend,MSFT,27,405.56,8.2
2022-11-04,Dividend,GOOG,90,465.58,17.19
2025-01-28,Buy,TSLA,36,201.74,7262.64
2025-07-15,Buy,AAPL,4,64.38,257.52
2024-09-29,Dividend,AAPL,88,256.29,27.9
